token_id,user_address,mint_amount_wei,deposit_amount_wei
267,0x5d9ae998e4fe9068593e72f774317f14ba606871,49240429726489,299999999999999
268,0x5db6291455a6491ff9bd5460bc34655984e23a75,102550669905545025,500000000000000000
271,0x5e6e363eed7f6765a2165faa46cd53b3ab3e000f,633390923725868665,3465712427900217000
272,0x5fcd5207fc508fd25db690f3a349b1a8f4040870,19329176257738643517,42685699831422120000
274,0x602666a7dd43328a7265ffde45eb4f1d9a0d21e3,766042319004262507,5000000000000000000
276,0x60ee0c8bb493b79286a54997322904f74fba3736,33233896293607725,88866111357172660
277,0x61a50f6a1ad8aab8efce0036470adfd8ceef65f8,240565192326379991,500000000000000000
279,0x6398ec9d0e6318126c794333a8a7478ecd6bf7b2,46169211760303268,92908602569589120
280,0x6456b1425a918f5c7558f02546a9e6b247535f21,42629873707357645,210758128493000260
281,0x649ac40e678f6bc1785825987a1dff26f6ef95cc,466434949459557068,3000000000000000000
284,0x652368b37d2e5b977e492ee07e0be9dfa74169fc,410647872713755234,1000000000000000000
286,0x65f32a6509e975bede788f7d9bd84d680349ec11,8032798350954856971,16164799897064851000
287,0x65f570384d6cc157a15eac9bfd9da88364d59b7f,5120483535596404316,10626705283393174000
292,0x674b511b6b1398e86b16f17c311767c6d2e7b981,41196451519441815,100000000000000000
293,0x6800212fef0f1729b96210e3fdadf50fc21cf4e0,288687929168768555053,581312741400296100000
294,0x680774f563d7c26e5a354050758890e7db15b8ee,420209708170105782,1043748863029529000
297,0x6832eba02b915d66697bd93ad9ba988ac9470897,2067584259498811293,4731034921732080000
299,0x6941f1db178b46ceb547c724394da63f2b351463,2832171588465842003,20000000000000000000
300,0x697f21718a14a93bd76b1b97b32dc02f1f3ff382,9735515240831011,28507816437486700
301,0x69f34f5892674ba03e6d12ae76b55080a4df9ebb,1496197184550559,3567418724718887
302,0x6a1f044b1b7502c1e6e5018e2a263487f01bd888,2054398916055969,4999999999999999
303,0x6a75ee3ad65eceb7de3da49801ddf93f48bbb259,89100895076369748,180000000000000000
304,0x6ad87b3719e2870f1b58ddcf21d265be626cc5eb,98269815804527907,470000000000000060
305,0x6b3d1a37b5c01901341f01f4975d31bc5e6c3d81,7276574333832369,18385084620274590
306,0x6bdba05537c9b9956f8725aa670551b9568dd4dc,7685951298587486052,16997510426319420000
307,0x6bef6ef697401585cb9156cd79defe1a23ef84a3,4634023107110720943,12504151736668680000
309,0x6c4b96cfce013c8d63da25f7227cbbb350feb6e3,3115082088499165223,7662027826080049000
310,0x6d1133eb11d8e3249f6f3c5aa0c9c2f7dc003ff9,1643629919946777527,3322472242503913000
311,0x6d8dec3fd68d94a7189a98346ea52b4d32e00012,411266584251277798,998154174108826000
312,0x6ddb393e00b6a4a867e9d6987fca480337fa8bee,4130218265401506525,10998148037501516000
313,0x6e73f12279a1cabb298e6b21ee281285df174b23,4449134816291627955,10000000000000000000
315,0x7080b9cf42a2b2df644063ee33fe651c8eecbe88,810522077897717794,1998233721377445600
316,0x70927ca3b59a50695fa8c352812590419dcf29b3,3988595955638428644,13933846319962237000
317,0x70d2ecf98e93a6e05fef3f5dd47a85b55f60fcfa,2912976384186778181,65691679881515050000
319,0x722eecde7e53e3a4e40da764823d03301246962e,150107798135062904,318730310750472200
320,0x725d73327a4bb1ba9b4223adcca69a504581c8d0,970810454111874074,1991121523220948000
321,0x728f3b195cfa8887fba331ce41dfc3631c291e3b,186590419621626400,450047895702773760
327,0x74709a8badb0c2166b19d75aeb8ccdc3d7d490b6,2982487703755866,13018182378729680
328,0x748ed28906db3687ea1a25c0868f113b59bcd01f,4341392706144507375,9992943239065770000
329,0x74c9d38ee85faeb44851560b7ac8dccc7d23885c,48945845336064082,100000000000000000
331,0x75b215f42e0a8893b4c9654a1849f5b1c1b92bd7,3176045051812923962,8000000000000000000
332,0x768e0623aa6c25536a0e6de6bd7f8f7abeef0676,824044275417932826,2000000000000000000
333,0x76c8fe7fff8c2154f552471e46e4a751f1257ff3,102719945802798489,250000000000000000
334,0x76d542089f923b08da0b8174e0150ca2217566f9,14143463607236411,105802671064226910
335,0x77486fb7a3e88d86c4ef85ef068e5c62ca1065ae,5694464595726796055,11996060133639870000
340,0x79edcdb2bd1a552a6854d56609d35fad212aefe6,20619434137330344,50000000000000000
342,0x7a5509e03b1a9d75a4106900f5a014888833dc91,3709886074212118179,11860000000000000000
344,0x7af17725d3b001c522dd5fc18829292f47c75b2c,165785588900501669,760001000000000000
345,0x7b3dbf09fe5c85b40d5bb31252a861f124228ac6,7082677943838907,14986936440569408
346,0x7c02237269b8a70ac2d73917e1df10a3006fa802,4108799875825519164,10000000000000000000
347,0x7c15fcb729f03d86b7ff03ccd0f4f19919995fc2,158447020019557,368799457048979
351,0x7d52b2b2aeda25a2acdabbc74bd9e2c30b4d36d7,57874398721190623224,115961908681849680000
352,0x7d7bc314a053752425e3e019a1c6c5b5b428d699,228210342208877232,500047808086023500
354,0x7e4524f2443dedfeefb3ace36c85e3cd9ee67485,1924508715203417401,3987741566349483000
355,0x7f7ccaea0244e0bcaeb7b2995ae24ec430eb5d29,869033028360621569,1998689695028628000
356,0x7f86a2e19e967f630249e083c498059ea348e556,24461473684895415225,59000000000000000000
357,0x7f96f965402b9a1b8318566955aa294ff10c9e51,9011247253098015247,20000000000000000000
358,0x7fc2a53de587b8c3799cf10f275ec68336737b16,4805148579794034,24380168250000000
359,0x7fe47a0cb8119767f1af6a71dd543d13d5e403b0,7876546192729381,36972210404840520
360,0x7ffa887ec3340fca92791c7d15c2d6f92fb5bab5,2717959386898927,12143000000000000
361,0x8013b58d3f8041b87bdaf3b9f7cc16e33d9674ab,1564433298118259608,3984929540905410000
362,0x807061df657a7697c04045da7d16d941861caabc,4035754274419688,10623561141239106
363,0x80952412dbb39a48092436efd17c23a46ff0d987,65325916149813334,400000000000000000
364,0x811f8b33fc0aae5448034422d18a985430f9a0f3,3961667212005876375,8000000000000000000
365,0x812a1667ce3df353dc51033c70958961b504c117,91431335756113133,200000000000000000
366,0x820fc206696880afbd7853c9aee5dabc42cca57b,113943865598814891,289959801389688700
368,0x82fa07dad4faf514d4c0fc6dbafde8882cb27a32,15603725943924968046,101000000000000000000
369,0x8320f13276c97b95caf895475c53c62253fc8af9,6387046407636388090,13262413081691994000
370,0x8353ccdae91c306e7145ba650a5106ca06ec0742,129503706365370,301178868682266
377,0x8620ba56f84e7850f041758f1e5fdf9cb8ddefac,4427656010404318980,9036076494174208000
381,0x875f8197668e2df81474af8a9109c08c6377e74f,4848866108978197527,10000000000000000000
386,0x889d0be6a0a1728bc38475eaabe9d856b2ffdc49,61530401943327015,300000000000000000
387,0x88aa12cb8a52d68ca3bebfe777391be892606ac8,11675521688929311036,24991402003734410000
388,0x8952752889a333299af61d237fb0223f22ce9c04,46848987483571477,121899862265737380
389,0x89b942fe7f41e360a52404b962695b510feecbdc,30002736177654164160,60385783076545200000
390,0x8aa3d61ff0ce77b539991a8c52a8d2188392e0ac,4495723283712234,20097092411380828
391,0x8af7806ccd8873780df941c0117d6927e2fdcdd9,10535823318666625,45948856319096350
393,0x8b0ef1dc156b69f249987a8a3b6f8596088698fb,80891570580576,172405068908478
394,0x8b2cd498ed9e0a052a3a584426f4eb84529ffad2,2427427511087740,10802393066041808
396,0x8bc0af2a6b8cd27884a32bcb740e0db3d2c90074,12140054584057857,24835295000000000
397,0x8bf3fee9d28a88c3a91a185e665da86851347527,323856681243121636,2250000000000000000
398,0x8c8a28151e27f52b8322d976076e1671c26d7a19,94634713610008711,200000000000000000
400,0x8cf0354a5175ca1cf9c14dbfc6e66cabd3d22424,177896761486965168172,358613202596292200000
401,0x8d2714db1f46d9e72bc4881b5f79d09e39167d11,203060553360475913,1000000000000000000
