address,underlyingValue,debt
0x50f01a922500ba20118191c8a37dbff15320aef4,793000000000000000,115783154260162222
0x516b2d73a67a15b765c7538124dd55cbca5dfea1,199999999999996,-11692171385841
0x5276a8ccf431c46d2cf448b9827eac0f4e4da64c,112425119045348,52250978217573
0x529c3f796016301556fe5402079cac7f409c9104,138739598720038850,69199595948230566
0x52d3d5cdaf9090ef436403365bcba32fbce13c99,50000000000000000,-4467607908412416
0x52e38021b95068264c3b71159fc29517e4d1faf1,7500000000000001000,1060664514828629313
0x52f21a64d115f8be98b1d711dd607847113709cc,287192712355884,-22993299322523934
0x532faac0951a5874cbbdbb50b8896525b9bfab3c,100000000000000000,21477463015447156
0x53969ee9230818e04fce426f2dc7a8e1b8b950f9,400000000000000000,192161108524290491
0x53dc8986ec7657351f424866a7ec3449ce66fb26,21339886583900244,-35416260234481171
0x54f3d99d4e132e51d611ca4c98288b032e80a64b,1250066154242220300,-96152004563053264
0x556aa3449221b607b37aa334162696d3f08c2d00,120000000000000000,49435741823330180
0x55907cf476998d2f58591c6d0a10ecbbe249a8eb,500000000000000000,64442553230926459
0x55ab31b4f4ee5ecd2a5ebae43219618a7efb28d7,11999115977401050000,5219295294306248978
0x55e70c02916049b17e46a140c4eb170e6088dafe,1000000000000000000,454858109748115193
0x56640ba14fb770f1ed151886ac7bb6adaa96955c,220000000000000000,90644870295972611
0x56f1ea622b3c67dcdfde7dcd5540e4a48fadb41c,106616624050775820,-5602940752804888
0x5773a379f9f9870e1498d3e84fd4797d6b038c63,8056041962609746000,3849214481158576201
0x5788f90196954a272347aee78c3b3f86f548d0a9,10047150752817156,-182160743026772
0x57bb29588a4be216c017eac196b7c5044848d97d,500000000000000000,98781774878244783
0x57e1778318ae6a57141c133911ac8dee5ef6921e,724678774242182300,156424236073777269
0x580e0f838a94d413e5c71a3b0b736a5416852060,94475209791782050,-7980866506768315
0x587f47ed1096d2de800dd93a40a0f146fdd38307,10000000000000000,-56250155239768
