address,underlyingValue,debt
0x40db60dcfd897351b8a6515ae6f717dc0495f381,100000000000001,15376572866184
0x40dd93562b869c1f89a13113289c8bba171ba955,8000000000000000,3638026022253701
0x40eb3d8871256116bebd8558a0637101ba4f7c90,5847193759361032,-446997768146216
0x40ff9ab3ac5808e7a9c8aa327d917c17242c14ba,8200000474855954,3737459231967465
0x414a7d9ef8a90d2c63990eb76c919f3811a23caf,1782284616889781500,683554891299857405
0x4153f9afe86f1d96459292e2ca36763d4c8841bf,153825431262827,-6800978449502
0x41ddf3f2b3daf0c685caee32c841558b7aa7eefb,9000000396520989,-409689552795385
0x4221ee1d17ec6faceccaa0803abbfc2512848c8d,5776481022355331,2632695808167412
0x42260072dd498829f5338186082ec254edebc1cd,150000000000000,-6935140700724
0x426ff09c0b7ef6a890a07130f746ba9625d37697,1124431738108113,-20569991550839
0x428111fdabdcdb727016fca77d376a5b1c0122b2,645080093473076,-27894176426407
0x42adb2ae252ec306d699798d613ff6540d91b9c2,350022283080503,-8840275978401
0x42bb6e5ffcf08cfbfcffe8dce50ae4c935a51512,3000000000000000,-123195780176859
0x42c05f369a21d5c4c9cde5cc09236fb18635dc9c,3028844129720805,613244733984834
0x42e9ada505f9844dd10978967d58350eb733b0b2,702081900987047,-31766922300494
0x430a658550f570d870e2e3cb14134399b8c796c4,2499915764310933,816142388635216
0x431ae3daa822837c8fdaf0119d6d3a2bac9ccd36,9573707591901350,-1108939103072379
0x431b5ddb0ace97ebc3d936403ea25831bad832b6,5002478820800635,-638770086611333
0x433400adf8b6d1fabac52a4c99521274b80e290e,8200000045376835,-371023329243109
0x435dbdb38adb606eaae862f3a890fc459c06ddf1,3700000158095539,832587028139029
0x436670da84cb19772769e6504c0444633d2d092c,2505000000000000,896656898218191
0x43e828e653995a5982a60c53d242f02fdab1f958,100000174389827,-4623435196602
0x43ea5e039a5de9c92069688b356b7bcb64d8e4b0,2600703623223063,667914300456604
0x441ccf15c3100e2700a2161239bf730e5d215932,166380160215906,15307534527291
0x44299097358a1abd676f06015c6243f6d73fafc5,41365371368032320000,20680763757011403502
0x447bf739f1c237d4383d0af3f1d859dc365ddf1e,100000020719629,-4623428091773
0x45032a436bcea53b3105103444c81554639e26ff,101539497226265,-4694604666299
0x45729329db0444e593ed83cf61a64c398f363674,2500000000000000,1136883131954281
0x4580d538a03531325e1c9cd772e5d0ea49cd3cde,255551084909942,-11298505407342
0x4615c12a57b9acdd5e4d6aae100d952440cf2177,5000009999999999,2268828180966470
0x462dd4e6eb89cba07496122bd9a84e971edaa087,100000375670221,-4623444502655
0x46376cf0ef9bd3daafab1b57e6c939b3062c2af1,300000000000000,-11979622695323
0x463fdb63a7239bacd2581a0dbd9fc94075f2b9e5,2499999999999999,884414321654592
0x46847544430f1f2ad2adcd014f034bad59c79444,2599999999999999,-117641542767546
0x46893bccacaf54cc656540e98c7fdd099b9f04c6,2510000000000000,983951978941211
0x46e636989dedbebb8a6581aef999fa3473e1d2d4,2499999999999999,884414321654592
0x470224e4ada16de2c4276a74f46f7d1209314758,5490711571702915000,2399601930293618607
0x474d7d70207fc6e133551927dd3cb212b086018f,2855167541373908,967993409176203
0x479dedac4cca45df2553fabcb7f9c04216f269ef,1939254182425732,901005387856771
0x47b8c706596aa7e95751aa5292e7936518b1e4ab,2682090082841581,1217040560777296
0x47c961b07ae08bb2a31a28d05a292a60f787f14c,3000000038455410,1361297203435257
0x48ec838d7406eb6bd51ef8b768241f09b5912707,3531377390517015,1143869629795265
0x48f7d45fa696dc89ff4f2233b25490455ae19dc2,1984774927385561,906899760324281
0x4917301cd148fa9265478f64763f71a1d0bc6b9e,9648943811120870000,4356378867708512105
0x492f5d913aa8adebfcc4aafe7258f44df4e01043,27000000000000000,9769943870087299
0x494b01d47bf88e3f5976c650d97bcab11ccbea10,2500000000000000,-115585678345408
0x494b699e04e21dfe1fdb29456f2742c5aae748de,200000182892128,-9246862723516
0x496b32f9e798d7a9ebefa67b5177a26d4a1666aa,155208104490157,75007295730454
0x498bbca5bd72cde641c922512a88b546f036cdb2,2600000000000000,1179790894520775
0x4a290f18c35bbfe97b2557cf765de9387726de39,10002230293546876,1490084757612994
0x4a8b980719ad026643ae31f5f2fca31f033a666c,100000218116502,-4623437218273
0x4af47588c31618bab444c9a8f285c676595be649,2979000000000001,862268105683612
0x4b0c41dd4eb92c10134eb1c99c7f764d5035c9f8,400000000000000,-18098698887314
0x4b3e0f6d3a260c94fabd353390dc13ccf0ddc34b,100000000000001,-4524674721828
0x4b4b0ffa940fa2d495d9a158f216bfffa5517c03,2500000000000000,-110530787946935
0x4b6df47f6f5069580188984c8bedb189af286d5a,9125756460417716000,4329226440022786793
0x4b70b870182f65e43e7413ec33878015eab7e7ff,2600102669639984,-117646188234794
0x4b83029dca8a8b962b11d906f45054a7898c41a1,2600000000000000,-120209105479224
0x4bba504587d11f490c56ea02e53f77ee7af50783,2700000000000000,-122166217489375
0x4beca0c75cd29d82e5c2bcd701392fa93b12025b,200000000000000,-9049349443657
0x4c69f0fc36b66d70bb7a132bbb94cae6b726ae84,197454288572113,91049634101127
0x4cb75146e98562c9d79b31649c6c739e4dcb7cd5,30018794031581180,-2218296202362402
0x4df320d25e8df805543a0f74b88ce2d2f6d67c90,100000029320571,-4623428489431
0x4ebb80fd8c0ad32600985b8fdf6a0dfe083e9e13,243971883675301600,-13537168364035828
0x4f0347b0ed538544db7323bfb7536ff07b7915f1,841971864446498,360916527126338
0x4f12dde972145543854482698c0c6b689908c1c5,100057328106874,-4721993000005
0x4f2250f76b3d1fdca2b42b305ab37260c6fbe520,100435872786012,45673539845410
0x4f233cda23c7c7b7390010caebbb386537bce7a7,120396256443349,-5533867850429
